[2022-02-18 12:27:19,420: INFO/MainProcess] Scheduler: Sending due task get_tasks_1s (molp_app.utilities.scalarization.get_tasks_info)
[2022-02-18 12:27:19,838: INFO/MainProcess] Scheduler: Sending due task get_user_tasks_1s (molp_app.utilities.scalarization.get_user_tasks_info)
[2022-02-18 12:27:19,920: INFO/MainProcess] Scheduler: Sending due task get_tasks_1s (molp_app.utilities.scalarization.get_tasks_info)
[2022-02-18 12:27:20,338: INFO/MainProcess] Scheduler: Sending due task get_user_tasks_1s (molp_app.utilities.scalarization.get_user_tasks_info)
[2022-02-18 12:27:20,420: INFO/MainProcess] Scheduler: Sending due task get_tasks_1s (molp_app.utilities.scalarization.get_tasks_info)
[2022-02-18 12:27:20,838: INFO/MainProcess] Scheduler: Sending due task get_user_tasks_1s (molp_app.utilities.scalarization.get_user_tasks_info)
[2022-02-18 12:27:20,920: INFO/MainProcess] Scheduler: Sending due task get_tasks_1s (molp_app.utilities.scalarization.get_tasks_info)
[2022-02-18 12:27:21,338: INFO/MainProcess] Scheduler: Sending due task get_user_tasks_1s (molp_app.utilities.scalarization.get_user_tasks_info)
[2022-02-18 12:27:21,420: INFO/MainProcess] Scheduler: Sending due task get_tasks_1s (molp_app.utilities.scalarization.get_tasks_info)
[2022-02-18 12:27:21,838: INFO/MainProcess] Scheduler: Sending due task get_user_tasks_1s (molp_app.utilities.scalarization.get_user_tasks_info)
[2022-02-18 12:27:21,920: INFO/MainProcess] Scheduler: Sending due task get_tasks_1s (molp_app.utilities.scalarization.get_tasks_info)
[2022-02-18 12:27:22,338: INFO/MainProcess] Scheduler: Sending due task get_user_tasks_1s (molp_app.utilities.scalarization.get_user_tasks_info)
[2022-02-18 12:27:22,423: INFO/MainProcess] Scheduler: Sending due task get_tasks_1s (molp_app.utilities.scalarization.get_tasks_info)
[2022-02-18 12:27:22,839: INFO/MainProcess] Scheduler: Sending due task get_user_tasks_1s (molp_app.utilities.scalarization.get_user_tasks_info)
[2022-02-18 12:27:22,923: INFO/MainProcess] Scheduler: Sending due task get_tasks_1s (molp_app.utilities.scalarization.get_tasks_info)
[2022-02-18 12:27:23,339: INFO/MainProcess] Scheduler: Sending due task get_user_tasks_1s (molp_app.utilities.scalarization.get_user_tasks_info)
[2022-02-18 12:27:23,423: INFO/MainProcess] Scheduler: Sending due task get_tasks_1s (molp_app.utilities.scalarization.get_tasks_info)
[2022-02-18 12:27:23,839: INFO/MainProcess] Scheduler: Sending due task get_user_tasks_1s (molp_app.utilities.scalarization.get_user_tasks_info)
[2022-02-18 12:27:23,923: INFO/MainProcess] Scheduler: Sending due task get_tasks_1s (molp_app.utilities.scalarization.get_tasks_info)
[2022-02-18 12:27:24,339: INFO/MainProcess] Scheduler: Sending due task get_user_tasks_1s (molp_app.utilities.scalarization.get_user_tasks_info)
[2022-02-18 12:27:24,427: INFO/MainProcess] Scheduler: Sending due task get_tasks_1s (molp_app.utilities.scalarization.get_tasks_info)
[2022-02-18 12:27:24,839: INFO/MainProcess] Scheduler: Sending due task get_user_tasks_1s (molp_app.utilities.scalarization.get_user_tasks_info)
[2022-02-18 12:27:24,927: INFO/MainProcess] Scheduler: Sending due task get_tasks_1s (molp_app.utilities.scalarization.get_tasks_info)
[2022-02-18 12:27:25,339: INFO/MainProcess] Scheduler: Sending due task get_user_tasks_1s (molp_app.utilities.scalarization.get_user_tasks_info)
[2022-02-18 12:27:25,427: INFO/MainProcess] Scheduler: Sending due task get_tasks_1s (molp_app.utilities.scalarization.get_tasks_info)
